,precision,recall,f1-score,support
Normal,0.9677943166441136,0.9786535303776683,0.9731936317866375,3654.0
Attack,0.9828834759710335,0.9741191822531535,0.9784817039868924,4598.0
accuracy,0.976126999515269,0.976126999515269,0.976126999515269,0.976126999515269
macro avg,0.9753388963075735,0.9763863563154109,0.975837667886765,8252.0
weighted avg,0.9762019698900151,0.976126999515269,0.976140136388767,8252.0
